model_name,comparison,left_layer,right_layer,fold_label,left_auc,left_f1,left_log_loss,right_auc,right_f1,right_log_loss,diff_auc_right_minus_left,diff_f1_right_minus_left,diff_log_loss_right_minus_left
logistic_regression,L1_vs_L1_L2,L1,L1_L2,fold_1,0.5310618500273672,0.4423076923076923,0.7185182999424963,0.5175150519978107,0.4912280701754385,0.7563588654933197,-0.013546798029556495,0.04892037786774622,0.03784056555082338
logistic_regression,L1_vs_L1_L2,L1,L1_L2,fold_2,0.5535444947209652,0.4923076923076923,0.7098144460934349,0.6015585721468075,0.5935483870967742,0.8929803407582914,0.048014077425842294,0.10124069478908188,0.18316589466485644
logistic_regression,L1_vs_L1_L2,L1,L1_L2,fold_3,0.463262599469496,0.4881889763779528,0.7273856006933606,0.4450928381962865,0.453781512605042,0.7274640436588808,-0.018169761273209517,-0.03440746377291076,7.844296552028673e-05
logistic_regression,L1_vs_L1_L2,L1,L1_L2,fold_4,0.4098532494758909,0.4461538461538462,0.7727941831028671,0.4022536687631027,0.46875,0.7887454537779297,-0.007599580712788212,0.02259615384615382,0.015951270675062634
logistic_regression,L1_vs_L1_L2,L1,L1_L2,fold_5,0.5412698412698412,0.5,0.6941421231746612,0.5042328042328043,0.4181818181818181,0.7137729623143723,-0.03703703703703698,-0.0818181818181819,0.019630839139711087
logistic_regression,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_1,0.5175150519978107,0.4912280701754385,0.7563588654933197,0.472632731253421,0.4521739130434782,0.9487069546809876,-0.04488232074438969,-0.03905415713196031,0.192348089187668
logistic_regression,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_2,0.6015585721468075,0.5935483870967742,0.8929803407582914,0.6173956762192057,0.6308724832214765,0.9569818593335828,0.015837104072398134,0.03732409612470233,0.06400151857529146
logistic_regression,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_3,0.4450928381962865,0.453781512605042,0.7274640436588808,0.5180371352785146,0.512396694214876,0.7339694449787052,0.0729442970822281,0.05861518160983398,0.006505401319824355
logistic_regression,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_4,0.4022536687631027,0.46875,0.7887454537779297,0.420335429769392,0.4626865671641791,0.8100367906514334,0.018081761006289276,-0.006063432835820892,0.021291336873503708
logistic_regression,L1_L2_vs_L1_L2_L3,L1_L2,L1_L2_L3,fold_5,0.5042328042328043,0.4181818181818181,0.7137729623143723,0.4658730158730159,0.4220183486238532,0.7691866021317346,-0.03835978835978837,0.00383653044203508,0.05541363981736236
logistic_regression,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_1,0.5310618500273672,0.4423076923076923,0.7185182999424963,0.472632731253421,0.4521739130434782,0.9487069546809876,-0.05842911877394619,0.009866220735785913,0.23018865473849137
logistic_regression,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_2,0.5535444947209652,0.4923076923076923,0.7098144460934349,0.6173956762192057,0.6308724832214765,0.9569818593335828,0.06385118149824043,0.1385647909137842,0.2471674132401479
logistic_regression,L1_vs_L1_L2_L3,L1,L1_L2_L3,fold_3,0.463262599469496,0.4881889763779528,0.7273856006933606,0.5180371352785146,0.512396694214876,0.7339694449787052,0.05477453580901859,0.024207717836923215,0.006583844285344642
