regime_name,regime_description,selected_model_name,cv_auc_mean,cv_auc_std,worst_fold_auc,holdout_auc,holdout_row_count,usable_feature_count_last_fold,broad_filing_sentiment_count,event_specific_sentiment_count,combined_sentiment_block_count,added_exclusions,removed_exclusions,usable_feature_columns_last_fold
event_specific_sentiment_only,Frozen quarterly core anchor plus Phase 9 event-specific sentiment only.,random_forest,0.5210165281814738,0.0323569424564207,0.4789473684210525,0.5366541353383458,66,130,0,14,14,[],"[""qfd_es_filing_negative_prob"", ""qfd_es_filing_negative_prob_delta_prev_q"", ""qfd_es_filing_neutral_prob"", ""qfd_es_filing_positive_prob"", ""qfd_es_filing_positive_prob_delta_prev_q"", ""qfd_es_filing_sentiment_abs"", ""qfd_es_filing_sentiment_delta_prev_q"", ""qfd_es_filing_sentiment_score"", ""qfd_es_log_text_chunk_count"", ""qfd_es_negative_surprise_vs_90d"", ""qfd_es_negative_tone_jump"", ""qfd_es_sentiment_entropy"", ""qfd_es_sentiment_polarity_balance"", ""qfd_es_sentiment_surprise_vs_90d"", ""qfd_es_sentiment_uncertainty"", ""qfd_es_source_count"", ""qfd_es_text_chunk_count""]","[""current_ratio"", ""cash_ratio"", ""working_capital_to_total_assets"", ""debt_to_equity"", ""debt_to_assets"", ""long_term_debt_ratio"", ""operating_margin"", ""net_margin"", ""roa"", ""roe"", ""asset_turnover"", ""total_debt_to_assets"", ""leverage_change_qoq"", ""revenue_growth_qoq"", ""earnings_growth_qoq"", ""cfo_to_net_income"", ""accruals_ratio"", ""liquidity_profile_score"", ""solvency_profile_score"", ""profitability_profile_score"", ""growth_quality_profile_score"", ""overall_financial_health_score"", ""days_since_prior_event"", ""days_since_prior_same_event_type"", ""current_filing_fundamentals_available"", ""fund_snapshot_is_current_event"", ""av_latest_prior_eps_surprise_before_event"", ""av_latest_prior_eps_surprise_pct_before_event"", ""av_trailing_4q_eps_surprise_mean"", ""av_trailing_4q_eps_surprise_std"", ""av_trailing_4q_eps_surprise_pct_mean"", ""av_trailing_4q_eps_surprise_pct_std"", ""av_trailing_4q_eps_beat_rate"", ""av_days_since_last_earnings_release"", ""av_latest_quarterly_eps_estimate_before_event"", ""av_latest_quarterly_revenue_estimate_before_event"", ""av_eps_estimate_analyst_count_before_event"", ""av_revenue_estimate_analyst_count_before_event"", ""av_eps_estimate_revision_30d"", ""av_eps_estimate_revision_90d"", ""av_coverage_any"", ""qfd_delta_operating_margin"", ""qfd_delta_net_margin"", ""qfd_delta_roa"", ""qfd_delta_asset_turnover"", ""qfd_delta_revenue_growth_qoq"", ""qfd_delta_earnings_growth_qoq"", ""qfd_delta_accruals_ratio"", ""qfd_delta_liquidity_profile_score"", ""qfd_delta_solvency_profile_score"", ""qfd_delta_profitability_profile_score"", ""qfd_delta_growth_quality_profile_score"", ""qfd_delta_overall_financial_health_score"", ""qfd_v2_operating_margin_lvl"", ""qfd_v2_net_margin_lvl"", ""qfd_v2_roa_lvl"", ""qfd_v2_debt_to_assets_lvl"", ""qfd_v2_working_capital_to_total_assets_lvl"", ""qfd_v2_accruals_ratio_lvl"", ""qfd_v2_cfo_to_net_income_lvl"", ""qfd_v2_operating_margin_d1"", ""qfd_v2_net_margin_d1"", ""qfd_v2_roa_d1"", ""qfd_v2_debt_to_assets_d1"", ""qfd_v2_working_capital_to_total_assets_d1"", ""qfd_v2_accruals_ratio_d1"", ""qfd_v2_cfo_to_net_income_d1"", ""qfd_v3_operating_margin_d1"", ""qfd_v3_net_margin_d1"", ""qfd_v3_leverage_change_qoq_d1"", ""qfd_v3_total_debt_to_assets_d1"", ""qfd_v3_cfo_to_net_income_d1"", ""qfd_v3_accruals_ratio_d1"", ""qfd_v2_operating_margin_accel"", ""qfd_v2_net_margin_accel"", ""qfd_v2_net_margin_pos_count_stb4q"", ""qfd_v2_roa_zsec"", ""qfd_v2_debt_to_assets_zsec"", ""qfd_v2_operating_margin_d1_zsec"", ""qfd_v2_accruals_ratio_zsec"", ""qfd_v2_operating_margin_d1_ranksec"", ""qfd_v2_profitability_profile_score_ranksec"", ""qfd_v2_debt_to_assets_d1_ranksec"", ""qfd_margin_delta_combo"", ""qfd_growth_delta_combo"", ""qfd_profile_delta_combo"", ""qfd_av_surprise_consistency"", ""qfd_av_surprise_pct_consistency"", ""qfd_av_latest_surprise_vs_trailing_pct"", ""qfd_av_latest_surprise_vs_trailing_pct_abs"", ""qfd_av_latest_surprise_above_trailing_flag"", ""qfd_av_latest_surprise_vs_trailing_pct_bucket"", ""qfd_av_revision_pressure"", ""qfd_av_revision_acceleration"", ""qfd_av_estimate_breadth_mean"", ""qfd_av_revision_breadth_pressure"", ""qfd_av_revision_x_surprise"", ""qfd_av_revision_x_surprise_capped"", ""qfd_av_revision_direction_flag"", ""qfd_av_revision_magnitude_bucket"", ""qfd_av_revision_plus_surprise"", ""qfd_av_revision_surprise_same_sign_flag"", ""qfd_av_surprise_consistency_bucket"", ""qfd_av_trailing_surprise_pct_std_clipped"", ""qfd_av_trailing_surprise_pct_std_bucket"", ""qfd_av_revision_x_growth_quality"", ""qfd_av_surprise_x_financial_health"", ""qfd_log_days_since_last_earnings_release"", ""qfd_log_days_since_prior_event"", ""qfd_log_days_since_prior_same_event_type"", ""qfd_event_gap_ratio"", ""qfd_event_gap_difference"", ""qfd_prior_event_gap_bucket"", ""qfd_prior_same_type_gap_bucket"", ""qfd_short_cycle_flag"", ""qfd_short_same_type_cycle_flag"", ""qfd_es_filing_sentiment_score"", ""qfd_es_filing_positive_prob"", ""qfd_es_filing_negative_prob"", ""qfd_es_filing_neutral_prob"", ""qfd_es_filing_sentiment_abs"", ""qfd_es_filing_sentiment_delta_prev_q"", ""qfd_es_filing_positive_prob_delta_prev_q"", ""qfd_es_filing_negative_prob_delta_prev_q"", ""qfd_es_negative_tone_jump"", ""qfd_es_sentiment_uncertainty"", ""qfd_es_sentiment_entropy"", ""qfd_es_sentiment_polarity_balance"", ""qfd_es_text_chunk_count"", ""qfd_es_log_text_chunk_count""]"
core_no_sentiment,Frozen quarterly core anchor with both broad filing sentiment and Phase 9 event-specific sentiment excluded.,random_forest,0.5126385158457065,0.0345550250791135,0.4651515151515151,0.5291353383458647,66,116,0,0,0,"[""sec_chunk_count"", ""sec_log_chunk_count"", ""sec_negative_change_prev"", ""sec_negative_prob"", ""sec_neutral_prob"", ""sec_positive_change_prev"", ""sec_positive_prob"", ""sec_sentiment_abs"", ""sec_sentiment_change_prev"", ""sec_sentiment_score"", ""qfd_es_filing_negative_prob"", ""qfd_es_filing_negative_prob_delta_prev_q"", ""qfd_es_filing_neutral_prob"", ""qfd_es_filing_positive_prob"", ""qfd_es_filing_positive_prob_delta_prev_q"", ""qfd_es_filing_sentiment_abs"", ""qfd_es_filing_sentiment_delta_prev_q"", ""qfd_es_filing_sentiment_score"", ""qfd_es_log_text_chunk_count"", ""qfd_es_negative_surprise_vs_90d"", ""qfd_es_negative_tone_jump"", ""qfd_es_sentiment_entropy"", ""qfd_es_sentiment_polarity_balance"", ""qfd_es_sentiment_surprise_vs_90d"", ""qfd_es_sentiment_uncertainty"", ""qfd_es_source_count"", ""qfd_es_text_chunk_count""]",[],"[""current_ratio"", ""cash_ratio"", ""working_capital_to_total_assets"", ""debt_to_equity"", ""debt_to_assets"", ""long_term_debt_ratio"", ""operating_margin"", ""net_margin"", ""roa"", ""roe"", ""asset_turnover"", ""total_debt_to_assets"", ""leverage_change_qoq"", ""revenue_growth_qoq"", ""earnings_growth_qoq"", ""cfo_to_net_income"", ""accruals_ratio"", ""liquidity_profile_score"", ""solvency_profile_score"", ""profitability_profile_score"", ""growth_quality_profile_score"", ""overall_financial_health_score"", ""days_since_prior_event"", ""days_since_prior_same_event_type"", ""current_filing_fundamentals_available"", ""fund_snapshot_is_current_event"", ""av_latest_prior_eps_surprise_before_event"", ""av_latest_prior_eps_surprise_pct_before_event"", ""av_trailing_4q_eps_surprise_mean"", ""av_trailing_4q_eps_surprise_std"", ""av_trailing_4q_eps_surprise_pct_mean"", ""av_trailing_4q_eps_surprise_pct_std"", ""av_trailing_4q_eps_beat_rate"", ""av_days_since_last_earnings_release"", ""av_latest_quarterly_eps_estimate_before_event"", ""av_latest_quarterly_revenue_estimate_before_event"", ""av_eps_estimate_analyst_count_before_event"", ""av_revenue_estimate_analyst_count_before_event"", ""av_eps_estimate_revision_30d"", ""av_eps_estimate_revision_90d"", ""av_coverage_any"", ""qfd_delta_operating_margin"", ""qfd_delta_net_margin"", ""qfd_delta_roa"", ""qfd_delta_asset_turnover"", ""qfd_delta_revenue_growth_qoq"", ""qfd_delta_earnings_growth_qoq"", ""qfd_delta_accruals_ratio"", ""qfd_delta_liquidity_profile_score"", ""qfd_delta_solvency_profile_score"", ""qfd_delta_profitability_profile_score"", ""qfd_delta_growth_quality_profile_score"", ""qfd_delta_overall_financial_health_score"", ""qfd_v2_operating_margin_lvl"", ""qfd_v2_net_margin_lvl"", ""qfd_v2_roa_lvl"", ""qfd_v2_debt_to_assets_lvl"", ""qfd_v2_working_capital_to_total_assets_lvl"", ""qfd_v2_accruals_ratio_lvl"", ""qfd_v2_cfo_to_net_income_lvl"", ""qfd_v2_operating_margin_d1"", ""qfd_v2_net_margin_d1"", ""qfd_v2_roa_d1"", ""qfd_v2_debt_to_assets_d1"", ""qfd_v2_working_capital_to_total_assets_d1"", ""qfd_v2_accruals_ratio_d1"", ""qfd_v2_cfo_to_net_income_d1"", ""qfd_v3_operating_margin_d1"", ""qfd_v3_net_margin_d1"", ""qfd_v3_leverage_change_qoq_d1"", ""qfd_v3_total_debt_to_assets_d1"", ""qfd_v3_cfo_to_net_income_d1"", ""qfd_v3_accruals_ratio_d1"", ""qfd_v2_operating_margin_accel"", ""qfd_v2_net_margin_accel"", ""qfd_v2_net_margin_pos_count_stb4q"", ""qfd_v2_roa_zsec"", ""qfd_v2_debt_to_assets_zsec"", ""qfd_v2_operating_margin_d1_zsec"", ""qfd_v2_accruals_ratio_zsec"", ""qfd_v2_operating_margin_d1_ranksec"", ""qfd_v2_profitability_profile_score_ranksec"", ""qfd_v2_debt_to_assets_d1_ranksec"", ""qfd_margin_delta_combo"", ""qfd_growth_delta_combo"", ""qfd_profile_delta_combo"", ""qfd_av_surprise_consistency"", ""qfd_av_surprise_pct_consistency"", ""qfd_av_latest_surprise_vs_trailing_pct"", ""qfd_av_latest_surprise_vs_trailing_pct_abs"", ""qfd_av_latest_surprise_above_trailing_flag"", ""qfd_av_latest_surprise_vs_trailing_pct_bucket"", ""qfd_av_revision_pressure"", ""qfd_av_revision_acceleration"", ""qfd_av_estimate_breadth_mean"", ""qfd_av_revision_breadth_pressure"", ""qfd_av_revision_x_surprise"", ""qfd_av_revision_x_surprise_capped"", ""qfd_av_revision_direction_flag"", ""qfd_av_revision_magnitude_bucket"", ""qfd_av_revision_plus_surprise"", ""qfd_av_revision_surprise_same_sign_flag"", ""qfd_av_surprise_consistency_bucket"", ""qfd_av_trailing_surprise_pct_std_clipped"", ""qfd_av_trailing_surprise_pct_std_bucket"", ""qfd_av_revision_x_growth_quality"", ""qfd_av_surprise_x_financial_health"", ""qfd_log_days_since_last_earnings_release"", ""qfd_log_days_since_prior_event"", ""qfd_log_days_since_prior_same_event_type"", ""qfd_event_gap_ratio"", ""qfd_event_gap_difference"", ""qfd_prior_event_gap_bucket"", ""qfd_prior_same_type_gap_bucket"", ""qfd_short_cycle_flag"", ""qfd_short_same_type_cycle_flag""]"
broad_filing_sentiment_only,Frozen quarterly core anchor plus broad filing sentiment only.,random_forest,0.5162339525139685,0.038959004465237,0.4652631578947368,0.5263157894736842,66,126,10,0,10,"[""qfd_es_filing_negative_prob"", ""qfd_es_filing_negative_prob_delta_prev_q"", ""qfd_es_filing_neutral_prob"", ""qfd_es_filing_positive_prob"", ""qfd_es_filing_positive_prob_delta_prev_q"", ""qfd_es_filing_sentiment_abs"", ""qfd_es_filing_sentiment_delta_prev_q"", ""qfd_es_filing_sentiment_score"", ""qfd_es_log_text_chunk_count"", ""qfd_es_negative_surprise_vs_90d"", ""qfd_es_negative_tone_jump"", ""qfd_es_sentiment_entropy"", ""qfd_es_sentiment_polarity_balance"", ""qfd_es_sentiment_surprise_vs_90d"", ""qfd_es_sentiment_uncertainty"", ""qfd_es_source_count"", ""qfd_es_text_chunk_count""]","[""sec_chunk_count"", ""sec_log_chunk_count"", ""sec_negative_change_prev"", ""sec_negative_prob"", ""sec_neutral_prob"", ""sec_positive_change_prev"", ""sec_positive_prob"", ""sec_sentiment_abs"", ""sec_sentiment_change_prev"", ""sec_sentiment_score""]","[""current_ratio"", ""cash_ratio"", ""working_capital_to_total_assets"", ""debt_to_equity"", ""debt_to_assets"", ""long_term_debt_ratio"", ""operating_margin"", ""net_margin"", ""roa"", ""roe"", ""asset_turnover"", ""total_debt_to_assets"", ""leverage_change_qoq"", ""revenue_growth_qoq"", ""earnings_growth_qoq"", ""cfo_to_net_income"", ""accruals_ratio"", ""liquidity_profile_score"", ""solvency_profile_score"", ""profitability_profile_score"", ""growth_quality_profile_score"", ""overall_financial_health_score"", ""sec_sentiment_score"", ""sec_positive_prob"", ""sec_negative_prob"", ""sec_neutral_prob"", ""sec_sentiment_abs"", ""sec_sentiment_change_prev"", ""sec_positive_change_prev"", ""sec_negative_change_prev"", ""sec_chunk_count"", ""sec_log_chunk_count"", ""days_since_prior_event"", ""days_since_prior_same_event_type"", ""current_filing_fundamentals_available"", ""fund_snapshot_is_current_event"", ""av_latest_prior_eps_surprise_before_event"", ""av_latest_prior_eps_surprise_pct_before_event"", ""av_trailing_4q_eps_surprise_mean"", ""av_trailing_4q_eps_surprise_std"", ""av_trailing_4q_eps_surprise_pct_mean"", ""av_trailing_4q_eps_surprise_pct_std"", ""av_trailing_4q_eps_beat_rate"", ""av_days_since_last_earnings_release"", ""av_latest_quarterly_eps_estimate_before_event"", ""av_latest_quarterly_revenue_estimate_before_event"", ""av_eps_estimate_analyst_count_before_event"", ""av_revenue_estimate_analyst_count_before_event"", ""av_eps_estimate_revision_30d"", ""av_eps_estimate_revision_90d"", ""av_coverage_any"", ""qfd_delta_operating_margin"", ""qfd_delta_net_margin"", ""qfd_delta_roa"", ""qfd_delta_asset_turnover"", ""qfd_delta_revenue_growth_qoq"", ""qfd_delta_earnings_growth_qoq"", ""qfd_delta_accruals_ratio"", ""qfd_delta_liquidity_profile_score"", ""qfd_delta_solvency_profile_score"", ""qfd_delta_profitability_profile_score"", ""qfd_delta_growth_quality_profile_score"", ""qfd_delta_overall_financial_health_score"", ""qfd_v2_operating_margin_lvl"", ""qfd_v2_net_margin_lvl"", ""qfd_v2_roa_lvl"", ""qfd_v2_debt_to_assets_lvl"", ""qfd_v2_working_capital_to_total_assets_lvl"", ""qfd_v2_accruals_ratio_lvl"", ""qfd_v2_cfo_to_net_income_lvl"", ""qfd_v2_operating_margin_d1"", ""qfd_v2_net_margin_d1"", ""qfd_v2_roa_d1"", ""qfd_v2_debt_to_assets_d1"", ""qfd_v2_working_capital_to_total_assets_d1"", ""qfd_v2_accruals_ratio_d1"", ""qfd_v2_cfo_to_net_income_d1"", ""qfd_v3_operating_margin_d1"", ""qfd_v3_net_margin_d1"", ""qfd_v3_leverage_change_qoq_d1"", ""qfd_v3_total_debt_to_assets_d1"", ""qfd_v3_cfo_to_net_income_d1"", ""qfd_v3_accruals_ratio_d1"", ""qfd_v2_operating_margin_accel"", ""qfd_v2_net_margin_accel"", ""qfd_v2_net_margin_pos_count_stb4q"", ""qfd_v2_roa_zsec"", ""qfd_v2_debt_to_assets_zsec"", ""qfd_v2_operating_margin_d1_zsec"", ""qfd_v2_accruals_ratio_zsec"", ""qfd_v2_operating_margin_d1_ranksec"", ""qfd_v2_profitability_profile_score_ranksec"", ""qfd_v2_debt_to_assets_d1_ranksec"", ""qfd_margin_delta_combo"", ""qfd_growth_delta_combo"", ""qfd_profile_delta_combo"", ""qfd_av_surprise_consistency"", ""qfd_av_surprise_pct_consistency"", ""qfd_av_latest_surprise_vs_trailing_pct"", ""qfd_av_latest_surprise_vs_trailing_pct_abs"", ""qfd_av_latest_surprise_above_trailing_flag"", ""qfd_av_latest_surprise_vs_trailing_pct_bucket"", ""qfd_av_revision_pressure"", ""qfd_av_revision_acceleration"", ""qfd_av_estimate_breadth_mean"", ""qfd_av_revision_breadth_pressure"", ""qfd_av_revision_x_surprise"", ""qfd_av_revision_x_surprise_capped"", ""qfd_av_revision_direction_flag"", ""qfd_av_revision_magnitude_bucket"", ""qfd_av_revision_plus_surprise"", ""qfd_av_revision_surprise_same_sign_flag"", ""qfd_av_surprise_consistency_bucket"", ""qfd_av_trailing_surprise_pct_std_clipped"", ""qfd_av_trailing_surprise_pct_std_bucket"", ""qfd_av_revision_x_growth_quality"", ""qfd_av_surprise_x_financial_health"", ""qfd_log_days_since_last_earnings_release"", ""qfd_log_days_since_prior_event"", ""qfd_log_days_since_prior_same_event_type"", ""qfd_event_gap_ratio"", ""qfd_event_gap_difference"", ""qfd_prior_event_gap_bucket"", ""qfd_prior_same_type_gap_bucket"", ""qfd_short_cycle_flag"", ""qfd_short_same_type_cycle_flag""]"
combined_sentiment_block,Frozen quarterly core anchor plus both broad filing sentiment and Phase 9 event-specific sentiment.,random_forest,0.5015419076989236,0.0392272527917029,0.4545454545454545,0.5178571428571428,66,140,10,14,24,[],"[""sec_chunk_count"", ""sec_log_chunk_count"", ""sec_negative_change_prev"", ""sec_negative_prob"", ""sec_neutral_prob"", ""sec_positive_change_prev"", ""sec_positive_prob"", ""sec_sentiment_abs"", ""sec_sentiment_change_prev"", ""sec_sentiment_score"", ""qfd_es_filing_negative_prob"", ""qfd_es_filing_negative_prob_delta_prev_q"", ""qfd_es_filing_neutral_prob"", ""qfd_es_filing_positive_prob"", ""qfd_es_filing_positive_prob_delta_prev_q"", ""qfd_es_filing_sentiment_abs"", ""qfd_es_filing_sentiment_delta_prev_q"", ""qfd_es_filing_sentiment_score"", ""qfd_es_log_text_chunk_count"", ""qfd_es_negative_surprise_vs_90d"", ""qfd_es_negative_tone_jump"", ""qfd_es_sentiment_entropy"", ""qfd_es_sentiment_polarity_balance"", ""qfd_es_sentiment_surprise_vs_90d"", ""qfd_es_sentiment_uncertainty"", ""qfd_es_source_count"", ""qfd_es_text_chunk_count""]","[""current_ratio"", ""cash_ratio"", ""working_capital_to_total_assets"", ""debt_to_equity"", ""debt_to_assets"", ""long_term_debt_ratio"", ""operating_margin"", ""net_margin"", ""roa"", ""roe"", ""asset_turnover"", ""total_debt_to_assets"", ""leverage_change_qoq"", ""revenue_growth_qoq"", ""earnings_growth_qoq"", ""cfo_to_net_income"", ""accruals_ratio"", ""liquidity_profile_score"", ""solvency_profile_score"", ""profitability_profile_score"", ""growth_quality_profile_score"", ""overall_financial_health_score"", ""sec_sentiment_score"", ""sec_positive_prob"", ""sec_negative_prob"", ""sec_neutral_prob"", ""sec_sentiment_abs"", ""sec_sentiment_change_prev"", ""sec_positive_change_prev"", ""sec_negative_change_prev"", ""sec_chunk_count"", ""sec_log_chunk_count"", ""days_since_prior_event"", ""days_since_prior_same_event_type"", ""current_filing_fundamentals_available"", ""fund_snapshot_is_current_event"", ""av_latest_prior_eps_surprise_before_event"", ""av_latest_prior_eps_surprise_pct_before_event"", ""av_trailing_4q_eps_surprise_mean"", ""av_trailing_4q_eps_surprise_std"", ""av_trailing_4q_eps_surprise_pct_mean"", ""av_trailing_4q_eps_surprise_pct_std"", ""av_trailing_4q_eps_beat_rate"", ""av_days_since_last_earnings_release"", ""av_latest_quarterly_eps_estimate_before_event"", ""av_latest_quarterly_revenue_estimate_before_event"", ""av_eps_estimate_analyst_count_before_event"", ""av_revenue_estimate_analyst_count_before_event"", ""av_eps_estimate_revision_30d"", ""av_eps_estimate_revision_90d"", ""av_coverage_any"", ""qfd_delta_operating_margin"", ""qfd_delta_net_margin"", ""qfd_delta_roa"", ""qfd_delta_asset_turnover"", ""qfd_delta_revenue_growth_qoq"", ""qfd_delta_earnings_growth_qoq"", ""qfd_delta_accruals_ratio"", ""qfd_delta_liquidity_profile_score"", ""qfd_delta_solvency_profile_score"", ""qfd_delta_profitability_profile_score"", ""qfd_delta_growth_quality_profile_score"", ""qfd_delta_overall_financial_health_score"", ""qfd_v2_operating_margin_lvl"", ""qfd_v2_net_margin_lvl"", ""qfd_v2_roa_lvl"", ""qfd_v2_debt_to_assets_lvl"", ""qfd_v2_working_capital_to_total_assets_lvl"", ""qfd_v2_accruals_ratio_lvl"", ""qfd_v2_cfo_to_net_income_lvl"", ""qfd_v2_operating_margin_d1"", ""qfd_v2_net_margin_d1"", ""qfd_v2_roa_d1"", ""qfd_v2_debt_to_assets_d1"", ""qfd_v2_working_capital_to_total_assets_d1"", ""qfd_v2_accruals_ratio_d1"", ""qfd_v2_cfo_to_net_income_d1"", ""qfd_v3_operating_margin_d1"", ""qfd_v3_net_margin_d1"", ""qfd_v3_leverage_change_qoq_d1"", ""qfd_v3_total_debt_to_assets_d1"", ""qfd_v3_cfo_to_net_income_d1"", ""qfd_v3_accruals_ratio_d1"", ""qfd_v2_operating_margin_accel"", ""qfd_v2_net_margin_accel"", ""qfd_v2_net_margin_pos_count_stb4q"", ""qfd_v2_roa_zsec"", ""qfd_v2_debt_to_assets_zsec"", ""qfd_v2_operating_margin_d1_zsec"", ""qfd_v2_accruals_ratio_zsec"", ""qfd_v2_operating_margin_d1_ranksec"", ""qfd_v2_profitability_profile_score_ranksec"", ""qfd_v2_debt_to_assets_d1_ranksec"", ""qfd_margin_delta_combo"", ""qfd_growth_delta_combo"", ""qfd_profile_delta_combo"", ""qfd_av_surprise_consistency"", ""qfd_av_surprise_pct_consistency"", ""qfd_av_latest_surprise_vs_trailing_pct"", ""qfd_av_latest_surprise_vs_trailing_pct_abs"", ""qfd_av_latest_surprise_above_trailing_flag"", ""qfd_av_latest_surprise_vs_trailing_pct_bucket"", ""qfd_av_revision_pressure"", ""qfd_av_revision_acceleration"", ""qfd_av_estimate_breadth_mean"", ""qfd_av_revision_breadth_pressure"", ""qfd_av_revision_x_surprise"", ""qfd_av_revision_x_surprise_capped"", ""qfd_av_revision_direction_flag"", ""qfd_av_revision_magnitude_bucket"", ""qfd_av_revision_plus_surprise"", ""qfd_av_revision_surprise_same_sign_flag"", ""qfd_av_surprise_consistency_bucket"", ""qfd_av_trailing_surprise_pct_std_clipped"", ""qfd_av_trailing_surprise_pct_std_bucket"", ""qfd_av_revision_x_growth_quality"", ""qfd_av_surprise_x_financial_health"", ""qfd_log_days_since_last_earnings_release"", ""qfd_log_days_since_prior_event"", ""qfd_log_days_since_prior_same_event_type"", ""qfd_event_gap_ratio"", ""qfd_event_gap_difference"", ""qfd_prior_event_gap_bucket"", ""qfd_prior_same_type_gap_bucket"", ""qfd_short_cycle_flag"", ""qfd_short_same_type_cycle_flag"", ""qfd_es_filing_sentiment_score"", ""qfd_es_filing_positive_prob"", ""qfd_es_filing_negative_prob"", ""qfd_es_filing_neutral_prob"", ""qfd_es_filing_sentiment_abs"", ""qfd_es_filing_sentiment_delta_prev_q"", ""qfd_es_filing_positive_prob_delta_prev_q"", ""qfd_es_filing_negative_prob_delta_prev_q"", ""qfd_es_negative_tone_jump"", ""qfd_es_sentiment_uncertainty"", ""qfd_es_sentiment_entropy"", ""qfd_es_sentiment_polarity_balance"", ""qfd_es_text_chunk_count"", ""qfd_es_log_text_chunk_count""]"
