label_family_name,label_variant,selected_model_name,cv_auc_mean,cv_auc_std,worst_fold_auc,holdout_auc,holdout_row_count,class_1_rate,dropped_ambiguous_count,label_available_count
21d_excess_quantile,event_v2_21d_excess_quantile,logistic_regression,0.604837962962963,0.1653355796840626,0.4074074074074074,0.55,9,0.55,939,160
21d_excess_thresholded,event_v2_21d_excess_threshold,random_forest,0.5126385158457065,0.0345550250791135,0.4651515151515151,0.5291353383458647,66,0.5175879396984925,303,796
21d_excess_sign,event_v2_21d_excess_sign,xgboost,0.5001524355792691,0.0239623948566796,0.4756944444444444,0.5083732057416268,82,0.5150136487716106,0,1099
10d_excess_thresholded,event_v2_10d_excess_threshold,logistic_regression,0.5228836554250347,0.0608535815220597,0.4666666666666667,0.4957983193277311,62,0.4915514592933948,455,651
10d_excess_sign,event_v2_10d_excess_sign,logistic_regression,0.5609434588707366,0.0435354318288613,0.4816216216216216,0.4680851063829787,86,0.4873417721518987,0,1106
