feature,feature_decile,row_count,feature_value_min,feature_value_max,mean_feature_value,actual_positive_rate,mean_pred_prob,mean_excess_forward_return
abs_return_shock_1d,1,14,0.00022811148870730103,0.0012890032573766863,0.0006603478404326183,0.6428571428571429,0.5375140309333801,0.008862210583450303
abs_return_shock_1d,2,14,0.0015153411444441822,0.0025901423668583945,0.002018692013539753,0.5,0.4672073721885681,0.0014393825517309857
abs_return_shock_1d,3,13,0.0035508038394418406,0.004767963495649785,0.004189042511691234,0.5384615384615384,0.4916812479496002,-0.0003112191480283864
abs_return_shock_1d,4,14,0.0053149697208400015,0.00615012277923821,0.005730955896324798,0.5,0.5214558243751526,-0.0029280980929142554
abs_return_shock_1d,5,14,0.007050984639421776,0.01026091405485774,0.008694295468455626,0.21428571428571427,0.4500356614589691,-0.011839549017567352
abs_return_shock_1d,6,13,0.0103398469787912,0.012383605422993105,0.011198730561588257,0.46153846153846156,0.47609370946884155,0.00012155950912057207
abs_return_shock_1d,7,14,0.013089385188523317,0.016582075269283347,0.014954125298472605,0.5,0.5829665064811707,0.0023167911307332154
abs_return_shock_1d,8,13,0.01687274770944236,0.020405964677333133,0.01819049775778836,0.6923076923076923,0.5270191431045532,0.009178314508757567
abs_return_shock_1d,9,14,0.02073421977531764,0.032121187652361716,0.025636477411902614,0.42857142857142855,0.5762056112289429,0.0005146708062333406
abs_return_shock_1d,10,14,0.033276624780626984,0.08424924986377531,0.052472927490907935,0.5,0.5050374269485474,-0.002698164017718058
beta_63d_to_sector,1,14,0.22567150909551803,0.5694002449897234,0.3829843040568119,0.5,0.669777512550354,0.006697277852883566
beta_63d_to_sector,2,14,0.5804356667144221,0.69225602182083,0.6348527207623527,0.7142857142857143,0.6139991879463196,0.010514578519790513
beta_63d_to_sector,3,13,0.6927150721170195,0.7386269283222172,0.7129048254505809,0.6923076923076923,0.5061301589012146,0.008445988897519715
beta_63d_to_sector,4,14,0.7506779927826673,0.8290376835410922,0.7879275925589374,0.35714285714285715,0.5022673010826111,-0.0013790530663427285
beta_63d_to_sector,5,14,0.8382805887694987,0.9268785580266229,0.8852952345133319,0.42857142857142855,0.39229559898376465,-0.0017737758373506526
beta_63d_to_sector,6,13,0.9270358652442195,0.9784878810182076,0.9504352326245538,0.6923076923076923,0.489736407995224,0.011039227122550664
beta_63d_to_sector,7,14,0.9922737919536769,1.085361510517467,1.0435350940709032,0.35714285714285715,0.4381437301635742,-0.008949612509037594
beta_63d_to_sector,8,13,1.0869478545921143,1.1399190710807594,1.1154386526598798,0.6153846153846154,0.5340096950531006,0.004359749842487878
