config_path,experiment_family,design_note,selected_model_name,best_holdout_model_name,cv_auc_mean,cv_log_loss_mean,holdout_auc,holdout_log_loss,holdout_row_count,top_shap_feature,benchmark_csv_path,shap_csv_path,beats_plain_quarterly,beats_quarterly_alpha_vantage
configs\event_panel_v2_quarterly_feature_design_sentiment.yaml,quarterly_plus_sentiment,quarterly_core_plus_sentiment_probabilities,xgboost,random_forest,0.5004943473645176,0.6967815863991216,0.4955894145950281,0.7056198192166986,101,qfd_av_revision_x_surprise,reports\results\event_panel_v2_quarterly_feature_design_sentiment_benchmark.csv,reports\results\event_panel_v2_quarterly_feature_design_sentiment_shap_importance.csv,True,True
configs\event_panel_v2_quarterly_feature_design_core.yaml,quarterly_core,fundamentals_profiles_event_context_av_only,xgboost,xgboost,0.5243465781102935,0.78046113750681,0.4426623897353648,0.8155968072951872,101,qfd_av_revision_x_surprise,reports\results\event_panel_v2_quarterly_feature_design_core_benchmark.csv,reports\results\event_panel_v2_quarterly_feature_design_core_shap_importance.csv,True,False
configs\event_panel_v2_quarterly_feature_design_medium_market.yaml,quarterly_plus_medium_market,quarterly_core_plus_medium_market_context,xgboost,xgboost,0.5384461690269283,0.7986635331646461,0.4322373696872494,0.847170557365664,101,drawdown_21d,reports\results\event_panel_v2_quarterly_feature_design_medium_market_benchmark.csv,reports\results\event_panel_v2_quarterly_feature_design_medium_market_shap_importance.csv,False,False
