benchmark_name,selected_model_name,group_type,group_name,usable_feature_count
core_no_market,random_forest,feature_family,acceleration,2
core_no_market,random_forest,feature_family,base_or_other,41
core_no_market,random_forest,feature_family,cross_sectional,7
core_no_market,random_forest,feature_family,delta,7
core_no_market,random_forest,feature_family,delta_refined,6
core_no_market,random_forest,feature_family,legacy_delta,45
core_no_market,random_forest,feature_family,level,7
core_no_market,random_forest,feature_family,stability,1
core_no_market,random_forest,market_group,non_event_aware_market,116
generic_market_only,logistic_regression,feature_family,acceleration,2
generic_market_only,logistic_regression,feature_family,base_or_other,55
generic_market_only,logistic_regression,feature_family,cross_sectional,7
generic_market_only,logistic_regression,feature_family,delta,7
generic_market_only,logistic_regression,feature_family,delta_refined,6
generic_market_only,logistic_regression,feature_family,legacy_delta,45
generic_market_only,logistic_regression,feature_family,level,7
generic_market_only,logistic_regression,feature_family,stability,1
generic_market_only,logistic_regression,market_group,non_event_aware_market,130
event_aware_market_only,logistic_regression,feature_family,acceleration,2
event_aware_market_only,logistic_regression,feature_family,base_or_other,41
event_aware_market_only,logistic_regression,feature_family,cross_sectional,7
event_aware_market_only,logistic_regression,feature_family,delta,7
event_aware_market_only,logistic_regression,feature_family,delta_refined,6
event_aware_market_only,logistic_regression,feature_family,event_aware_market_first_tradable,2
event_aware_market_only,logistic_regression,feature_family,event_aware_market_pre_event,10
event_aware_market_only,logistic_regression,feature_family,legacy_delta,45
event_aware_market_only,logistic_regression,feature_family,level,7
event_aware_market_only,logistic_regression,feature_family,stability,1
event_aware_market_only,logistic_regression,market_group,first_tradable,2
event_aware_market_only,logistic_regression,market_group,non_event_aware_market,116
event_aware_market_only,logistic_regression,market_group,pre_event,10
generic_and_event_aware_market,logistic_regression,feature_family,acceleration,2
generic_and_event_aware_market,logistic_regression,feature_family,base_or_other,55
generic_and_event_aware_market,logistic_regression,feature_family,cross_sectional,7
generic_and_event_aware_market,logistic_regression,feature_family,delta,7
generic_and_event_aware_market,logistic_regression,feature_family,delta_refined,6
generic_and_event_aware_market,logistic_regression,feature_family,event_aware_market_first_tradable,2
generic_and_event_aware_market,logistic_regression,feature_family,event_aware_market_pre_event,10
generic_and_event_aware_market,logistic_regression,feature_family,legacy_delta,45
generic_and_event_aware_market,logistic_regression,feature_family,level,7
generic_and_event_aware_market,logistic_regression,feature_family,stability,1
generic_and_event_aware_market,logistic_regression,market_group,first_tradable,2
generic_and_event_aware_market,logistic_regression,market_group,non_event_aware_market,130
generic_and_event_aware_market,logistic_regression,market_group,pre_event,10
