ticker,company_name,exchange,country,sector,industry_classifications,market_cap_usd_mm,cik
DLTR,"Dollar Tree, Inc.",NasdaqGS,United States,Consumer Staples,Consumer Staples (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Distribution and Retail (Primary); Consumer Staples Merchandise Retail (Primary); Broadline Retail; Broadline Retail; Consumer Discretionary; Consumer Discretionary Distribution and Retail; General Merchandise Stores; Variety Stores,20469.7,0000935703
GIS,"General Mills, Inc.",NYSE,United States,Consumer Staples,"Animal Feed (Primary); Baking Mixes and Supplies (Primary); Bread and Bakery Products (Primary); Cat Food (Primary); Cereal Breakfast Foods (Primary); Consumer Staples (Primary); Dairy Products (Primary); Dairy Products and Eggs (Primary); Desserts and Dessert Toppings (Primary); Dog Food (Primary); Ethnic Foods (Primary); Flour (Primary); Food Products (Primary); Food, Beverage and Tobacco (Primary); Frozen Bakery Products (Primary); Frozen Foods (Primary); Frozen Vegetables (Primary); Grain Mill Products (Primary); Ice Cream, Flavored Ices and Frozen Desserts (Primary); Organic Foods (Primary); Packaged Foods and Meats (Primary); Packaged Frozen Meals (Primary); Prepared and Preserved Foods (Primary); Prepared Flour Mixes And Dough (Primary); Prepared Soups and Stews (Primary); Snack Food (Primary); Application Software; Broadline Retail; Broadline Retail; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Customer Billing Software; Dairy Product Stores; Department Stores; Enterprise Resource Planning (ERP) Software; Enterprise Software; Food Retail; General Ledger and Accounting Software; Grocery Stores; Human Resources Software; Information Technology; Software; Software and Services; Time Tracking and Scheduling Software",18662.8,0000040704
HRL,Hormel Foods Corporation,NYSE,United States,Consumer Staples,"Bread and Bakery Products (Primary); Bread, Biscuits and Cookies (Primary); Consumer Staples (Primary); Desserts and Dessert Toppings (Primary); Food Products (Primary); Food, Beverage and Tobacco (Primary); Frozen Foods (Primary); Meat Products (Primary); Meats, Meat Processing And Meat Related Products (Primary); Packaged Foods and Meats (Primary); Peanut Butter (Primary); Prepared and Preserved Foods (Primary); Preserves, Jams, Jellies and Nut Spreads (Primary); Snack Food (Primary); Tortillas (Primary); Turkey (Primary); Beverages; Drink Mixes; Household and Personal Products; Personal Care Products; Personal Care Products; Soft Drinks and Non-alcoholic Beverages; Vitamins and Nutritional Supplements",11858.6,0000048465
KDP,Keurig Dr Pepper Inc.,NasdaqGS,United States,Consumer Staples,"Beverages (Primary); Bottled Water (Primary); Consumer Staples (Primary); Food, Beverage and Tobacco (Primary); Non-Carbonated Drinks (Primary); Soft Drinks and Non-alcoholic Beverages (Primary); Beverage Distribution; Coffee; Coffee And Tea; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Food Distributors; Food Products; Food Retail; Online Food Retail; Packaged Foods and Meats; Tea",39755.5,0001418135; 0000909954
KMB,Kimberly-Clark Corporation,NasdaqGS,United States,Consumer Staples,"Cleaning Products (Primary); Cleaning Rags, Cloths, and Wipes (Primary); Consumer Staples (Primary); Facial Tissues (Primary); Household and Personal Products (Primary); Household Paper Products (Primary); Household Products (Primary); Household Products (Primary); Paper Towels (Primary); Soaps (Primary); Toilet Tissue (Primary); Apparel; Apparel, Accessories and Luxury Goods; Baby Care Products; Consumer Discretionary; Consumer Durables and Apparel; Diapers; Feminine Care Products; Linens and Bedding; Personal Care Products; Personal Care Products; Textiles; Textiles, Apparel and Luxury Goods; Towels",32478.9,0000055785
MKC,"McCormick & Company, Incorporated",NYSE,United States,Consumer Staples,"Consumer Staples (Primary); Desserts and Dessert Toppings (Primary); Food Products (Primary); Food, Beverage and Tobacco (Primary); Herbs, Spices and Extracts (Primary); Packaged Foods and Meats (Primary); Prepared and Preserved Foods (Primary); Sauces And Salad Dressings (Primary); Seasonings and Preservatives (Primary); Chemicals; Materials; Materials; Specialty Chemicals",13857.2,0000063754
TAP,Molson Coors Beverage Company,NYSE,United States,Consumer Staples,"Beer, Ale and Malt Beverages (Primary); Beverages (Primary); Brewers (Primary); Consumer Staples (Primary); Food, Beverage and Tobacco (Primary); Alcohol Cocktails and Drink Mixes; Distillers and Vintners; Soft Drinks and Non-alcoholic Beverages; Spirits and Liquors",7991.6,0000024545
MDLZ,"Mondelez International, Inc.",NasdaqGS,United States,Consumer Staples,"Biscuits (Primary); Bread and Bakery Products (Primary); Bread, Biscuits and Cookies (Primary); Candy (Primary); Cheese (Primary); Chewing Gum (Primary); Chocolate And Cocoa Products (Primary); Confectionery Products (Primary); Consumer Staples (Primary); Cookies (Primary); Cookies And Cracker (Primary); Crackers (Primary); Dairy Products (Primary); Dairy Products and Eggs (Primary); Food Products (Primary); Food, Beverage and Tobacco (Primary); Packaged Foods and Meats (Primary); Prepared and Preserved Foods (Primary); Snack Food (Primary); Beverages; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Drink Mixes; Food Retail; Online Food Retail; Online Grocery Retail; Powdered Drink Mix; Soft Drinks and Non-alcoholic Beverages",73939.9,0001103982
MNST,Monster Beverage Corporation,NasdaqGS,United States,Consumer Staples,"Beverages (Primary); Consumer Staples (Primary); Drink Mixes (Primary); Flavoring Syrup And Concentrate (Primary); Food, Beverage and Tobacco (Primary); Juices (Primary); Non-Carbonated Drinks (Primary); Soda and other Carbonated Drinks (Primary); Soft Drinks and Non-alcoholic Beverages (Primary); Beer, Ale and Malt Beverages; Brewers",76501.6,0001630408; 0000865752
PEP,"PepsiCo, Inc.",NasdaqGS,United States,Consumer Staples,"Beverages (Primary); Bottled Water (Primary); Consumer Staples (Primary); Drink Mixes (Primary); Food, Beverage and Tobacco (Primary); Juices (Primary); Non-Carbonated Drinks (Primary); Soda and other Carbonated Drinks (Primary); Soft Drinks and Non-alcoholic Beverages (Primary); Beverage Distribution; Coffee; Coffee And Tea; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Dairy Products; Dairy Products and Eggs; Food Distributors; Food Products; Food Retail; Grain Mill Products; Online Beverage Retail; Online Food Retail; Packaged Food Mixes; Packaged Foods and Meats; Pasta; Potato and Corn Chips; Prepared and Preserved Foods; Sauces And Salad Dressings; Seasonings and Preservatives; Snack Food; Sweeteners; Syrup; Tea",212450.5,0000077476
